SetupTitle, I/V-t Sampling,,,,,
PrimitiveTest, I/V-t Sampling,,,,,
,,,,,,
TestParameter, Context.MainFrame, B1500A,,,,
TestParameter, Channel.UnitType, SMU, SMU,,,
TestParameter, Channel.Unit, SMU1:MP, SMU2:MP,,,
TestParameter, Channel.IName, I1, I2,,,
TestParameter, Channel.VName, V1, V2,,,
TestParameter, Channel.Mode, V, V,,,
TestParameter, Channel.Index, ,,,,
TestParameter, Channel.Time, Time,,,,
TestParameter, Measurement.Port.Unit, SMU1:MP, SMU2:MP,,,
TestParameter, Measurement.Port.SeriesResistor, NONE, NONE,,,
TestParameter, Measurement.Port.Filter, ON, ON,,,
TestParameter, Measurement.Port.OutputVoltageComparison,0,0,,,
TestParameter, Measurement.Sampling.Scale, LINEAR,,,,
TestParameter, Measurement.Sampling.Interval,0.1,,,,
TestParameter, Measurement.Sampling.Count,10000,,,,
TestParameter, Measurement.Sampling.HoldTime,0,,,,
TestParameter, Measurement.Sampling.BaseHoldTime,0,,,,
TestParameter, Measurement.Sampling.OutputSequence, SEQUENTIAL,,,,
TestParameter, Measurement.PostOutput.Value, SOURCE,,,,
TestParameter, Measurement.PostOutput.Retention, OFF,,,,
TestParameter, Measurement.Bias.Source,1,1,,,
TestParameter, Measurement.Bias.Compliance,0.1,0.1,,,
TestParameter, Measurement.Monitor.Unit, SMU1:MP, SMU2:MP,,,
TestParameter, Measurement.Monitor.Adc, HR ADC, HR ADC,,,
TestParameter, Measurement.Monitor.Measurement, Compliance Side, Compliance Side,,,
TestParameter, Measurement.Monitor.RangingMode, LIMITED, LIMITED,,,
TestParameter, Measurement.Monitor.RangeBoundary, 1nA, 1nA,,,
TestParameter, Measurement.Monitor.RangeRating, BY FULL RANGE, BY FULL RANGE,,,
TestParameter, Measurement.Monitor.RangeRatingCoeff,50,50,,,
TestParameter, Measurement.Adc.HighSpeed.Mode, AUTO,,,,
TestParameter, Measurement.Adc.HighSpeed.Coeff,1,,,,
TestParameter, Measurement.Adc.HighResolution.AutoZero, OFF,,,,
TestParameter, Measurement.Adc.HighResolution.Mode, AUTO,,,,
TestParameter, Measurement.Adc.HighResolution.Coeff,6,,,,
TestParameter, Measurement.WaitTime.Source.Coeff,1,,,,
TestParameter, Measurement.WaitTime.Source.Offset,0,,,,
TestParameter, Measurement.WaitTime.Monitor.Coeff,1,,,,
TestParameter, Measurement.WaitTime.Monitor.Offset,0,,,,
TestParameter, Output.Graph.Enabled, true,,,,
TestParameter, Output.Graph.AutoScaling, false,,,,
TestParameter, Output.Graph.XAxis.Data, Time,,,,
TestParameter, Output.Graph.XAxis.Scale, Linear,,,,
TestParameter, Output.Graph.XAxis.Left,0,,,,
TestParameter, Output.Graph.XAxis.Right, 999.90000000000009,,,,
TestParameter, Output.Graph.XAxis.RunTimeAutoScale, true,,,,
TestParameter, Output.Graph.YAxis.Data, I1, I2,,,
TestParameter, Output.Graph.YAxis.Scale, Linear, Linear,,,
TestParameter, Output.Graph.YAxis.Bottom,0.000695,0.000695,,,
TestParameter, Output.Graph.YAxis.Top,0.0007,0.0007,,,
TestParameter, Output.Graph.YAxis.Group, Group 1, Group 1,,,
TestParameter, Output.Graph.YAxis.RunTimeAutoScale, true, true,,,
TestParameter, Output.List.Data, Time, I1, V1, I2, V2
TestParameter, AutoAnalysis.Interpolation, false,,,,
TestParameter, AutoAnalysis.Var2StepCount,1,,,,
TestParameter, AutoAnalysis.Var2StepScript, ,,,,
TestParameter, AutoAnalysis.Line1.Enabled, false,,,,
TestParameter, AutoAnalysis.Line1.Type,1,,,,
TestParameter, AutoAnalysis.Line1.Fix, True,,,,
TestParameter, AutoAnalysis.Line1.YAxis,0,,,,
TestParameter, AutoAnalysis.Line1.Point1.Type,0,,,,
TestParameter, AutoAnalysis.Line1.Point1.XY.X, ,,,,
TestParameter, AutoAnalysis.Line1.Point1.XY.Y, ,,,,
TestParameter, AutoAnalysis.Line1.Point1.Data.Var, ,,,,
